f107_d1,f107_d2,f107_d3,f107_d4,f107_d5,f107_d6,f107_d7,f107_d8,f107_d9,f107_d10,f107_d11,f107_d12,f107_d13,f107_d14,f107_d15,f107_d16,f107_d17,f107_d18,f107_d19,f107_d20,f107_d21,f107_d22,f107_d23,f107_d24,f107_d25,f107_d26,f107_d27,ap_d1,ap_d2,ap_d3,ap_d4,ap_d5,ap_d6,ap_d7,ap_d8,ap_d9,ap_d10,ap_d11,ap_d12,ap_d13,ap_d14,ap_d15,ap_d16,ap_d17,ap_d18,ap_d19,ap_d20,ap_d21,ap_d22,ap_d23,ap_d24,ap_d25,ap_d26,ap_d27,kp_d1,kp_d2,kp_d3,kp_d4,kp_d5,kp_d6,kp_d7,kp_d8,kp_d9,kp_d10,kp_d11,kp_d12,kp_d13,kp_d14,kp_d15,kp_d16,kp_d17,kp_d18,kp_d19,kp_d20,kp_d21,kp_d22,kp_d23,kp_d24,kp_d25,kp_d26,kp_d27,issued_utc
88.0,88.0,88.0,88.0,88.0,88.0,85.0,80.0,75.0,75.0,75.0,75.0,75.0,80.0,85.0,88.0,90.0,88.0,88.0,85.0,85.0,90.0,100.0,95.0,90.0,88.0,88.0,5.0,8.0,8.0,5.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,12.0,10.0,8.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2021-10-04T00:00:00Z
94.0,95.0,95.0,96.0,95.0,95.0,95.0,95.0,95.0,92.0,90.0,88.0,86.0,86.0,85.0,85.0,83.0,82.0,82.0,82.0,82.0,82.0,85.0,85.0,85.0,85.0,85.0,5.0,5.0,8.0,8.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,12.0,10.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,8.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2021-10-25T00:00:00Z
85.0,82.0,82.0,82.0,82.0,80.0,80.0,85.0,87.0,87.0,87.0,90.0,90.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,90.0,90.0,85.0,85.0,85.0,82.0,82.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,10.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,8.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2021-11-08T00:00:00Z
82.0,80.0,80.0,80.0,82.0,82.0,82.0,80.0,80.0,82.0,85.0,85.0,85.0,87.0,87.0,87.0,87.0,86.0,86.0,86.0,86.0,86.0,84.0,82.0,82.0,82.0,82.0,8.0,8.0,5.0,5.0,10.0,8.0,5.0,12.0,10.0,5.0,5.0,15.0,12.0,10.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,15.0,18.0,12.0,8.0,8.0,8.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,3.0,3.0,3.0,2021-12-06T00:00:00Z
102.0,102.0,105.0,110.0,110.0,115.0,115.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,110.0,100.0,100.0,95.0,90.0,85.0,85.0,85.0,95.0,105.0,100.0,100.0,8.0,5.0,5.0,5.0,5.0,5.0,12.0,15.0,10.0,5.0,5.0,5.0,5.0,10.0,8.0,8.0,8.0,5.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,15.0,10.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,2022-01-10T00:00:00Z
122.0,120.0,120.0,120.0,110.0,110.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,118.0,120.0,120.0,120.0,125.0,125.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,115.0,10.0,5.0,5.0,20.0,25.0,12.0,25.0,20.0,5.0,5.0,10.0,12.0,8.0,5.0,10.0,8.0,5.0,8.0,12.0,8.0,8.0,5.0,5.0,5.0,12.0,10.0,15.0,3.0,2.0,2.0,5.0,5.0,3.0,5.0,5.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,2022-02-07T00:00:00Z
96.0,102.0,102.0,105.0,103.0,103.0,103.0,105.0,103.0,103.0,105.0,103.0,103.0,100.0,98.0,98.0,95.0,95.0,95.0,95.0,93.0,95.0,95.0,93.0,95.0,95.0,95.0,12.0,10.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,18.0,15.0,10.0,8.0,5.0,5.0,5.0,5.0,15.0,12.0,8.0,5.0,8.0,5.0,5.0,10.0,15.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,2022-02-21T00:00:00Z
135.0,130.0,130.0,130.0,135.0,130.0,130.0,135.0,132.0,132.0,132.0,125.0,125.0,130.0,130.0,130.0,130.0,125.0,130.0,130.0,128.0,130.0,130.0,135.0,135.0,140.0,140.0,12.0,10.0,10.0,8.0,8.0,12.0,8.0,5.0,5.0,5.0,5.0,18.0,12.0,8.0,5.0,5.0,5.0,5.0,8.0,15.0,12.0,8.0,5.0,5.0,5.0,8.0,10.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2022-04-18T00:00:00Z
154.0,152.0,152.0,150.0,148.0,140.0,140.0,145.0,142.0,142.0,138.0,136.0,136.0,138.0,140.0,140.0,143.0,143.0,143.0,140.0,136.0,138.0,138.0,140.0,150.0,154.0,154.0,14.0,8.0,5.0,8.0,8.0,5.0,5.0,5.0,18.0,15.0,15.0,15.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,14.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2022-05-16T00:00:00Z
110.0,112.0,112.0,115.0,115.0,115.0,115.0,112.0,112.0,110.0,108.0,108.0,110.0,100.0,95.0,98.0,95.0,95.0,98.0,98.0,100.0,100.0,102.0,105.0,105.0,100.0,110.0,5.0,8.0,25.0,12.0,8.0,5.0,5.0,5.0,5.0,5.0,10.0,15.0,12.0,10.0,8.0,8.0,8.0,8.0,12.0,15.0,10.0,8.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2022-07-04T00:00:00Z
124.0,124.0,122.0,118.0,112.0,108.0,102.0,100.0,100.0,94.0,94.0,94.0,94.0,96.0,98.0,100.0,108.0,114.0,116.0,116.0,112.0,108.0,108.0,115.0,120.0,124.0,126.0,5.0,5.0,20.0,25.0,18.0,12.0,8.0,5.0,5.0,5.0,5.0,5.0,12.0,8.0,8.0,8.0,5.0,5.0,5.0,24.0,28.0,18.0,10.0,14.0,8.0,10.0,8.0,2.0,2.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,6.0,6.0,5.0,3.0,4.0,3.0,3.0,3.0,2022-08-15T00:00:00Z
125.0,120.0,120.0,120.0,115.0,115.0,115.0,112.0,108.0,108.0,115.0,120.0,124.0,130.0,128.0,120.0,118.0,105.0,102.0,98.0,98.0,104.0,102.0,108.0,118.0,118.0,118.0,10.0,8.0,5.0,5.0,5.0,30.0,38.0,20.0,15.0,18.0,10.0,12.0,8.0,5.0,5.0,12.0,15.0,10.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,14.0,3.0,3.0,2.0,2.0,2.0,6.0,6.0,5.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2022-08-29T00:00:00Z
120.0,115.0,115.0,110.0,110.0,112.0,112.0,112.0,112.0,115.0,120.0,125.0,125.0,125.0,120.0,118.0,120.0,125.0,125.0,120.0,120.0,120.0,120.0,120.0,125.0,120.0,120.0,10.0,5.0,5.0,12.0,12.0,8.0,5.0,5.0,5.0,15.0,12.0,15.0,12.0,20.0,15.0,15.0,18.0,15.0,12.0,20.0,8.0,5.0,5.0,5.0,18.0,18.0,15.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,2.0,2.0,2.0,5.0,4.0,3.0,2022-10-17T00:00:00Z
130.0,130.0,125.0,120.0,115.0,115.0,120.0,118.0,116.0,115.0,114.0,116.0,116.0,114.0,114.0,112.0,114.0,116.0,116.0,116.0,118.0,118.0,120.0,122.0,124.0,124.0,122.0,8.0,12.0,12.0,12.0,12.0,8.0,5.0,5.0,5.0,5.0,5.0,25.0,15.0,8.0,5.0,5.0,8.0,16.0,26.0,15.0,12.0,8.0,15.0,26.0,16.0,12.0,8.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,2022-11-07T00:00:00Z
120.0,125.0,125.0,125.0,125.0,125.0,125.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,125.0,125.0,125.0,125.0,125.0,125.0,130.0,135.0,130.0,125.0,125.0,125.0,125.0,26.0,15.0,8.0,10.0,15.0,8.0,10.0,8.0,8.0,8.0,12.0,18.0,8.0,5.0,5.0,5.0,5.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2022-11-21T00:00:00Z
